Protien,Fat,Carb,Fiber,Sugar
3,0,26,2,1
16,8,14,1,3
4,7,21,8,0
6,8,3,9,3
0,4,7,2,8
12,0,3,8,5
1,4,5,0,14
4,1,0,8,6
2,0,5,0,7
3,9,6,0,3-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,0,21,4,4
-1,-1,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,2,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
7,0,21,4,4
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
1,-1,1,0,1
